id;studyid;reference;lat;lon;mat;map;clay;soc;ph;year;g_crop_type;management;describe;fertilizer_type;crop_residue;tillage;cover_crop_and_crop_rotation;fertilizer_strategy;rfr;rfp;rft;n_dose;replication ;nue_type;nuet_mean;nuet_sd;nuec_mean;nuec_sd;nup_type;nut_mean;nut_sd;nut_0N;nuc_mean;nuc_sd;nuc_0N
98;24;Chen Kai-lin_2014_Effect_Chinese;28,51;112,65;18,21852837;1586,054461;30,51428571;15,71428571;5,964285714;1;rice;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;135;3;REN;86,14814815;;75,25925926;;;;;;;;
99;25;Chen Linan-2010_Effect_Chinese;46,97;127,62;2,808453496;795,4814123;28,57857143;27,96428571;6,492857143;2;rice;RFT;;mineral;no;conventional;no;timing;no;no;yes;105;3;REN;48,43;3,27;33,87;5,7;;;;;;;
100;25;Chen Linan-2010_Effect_Chinese;46,97;127,62;2,808453496;795,4814123;28,57857143;27,96428571;6,492857143;2;rice;RFT;;mineral;no;conventional;no;timing;no;no;yes;135;3;REN;38,51;2,77;30,04;2,12;;;;;;;
101;25;Chen Linan-2010_Effect_Chinese;46,97;127,62;2,808453496;795,4814123;28,57857143;27,96428571;6,492857143;2;rice;RFR;;mineral;no;conventional;no;rate;yes;no;no;105;3;REN;48,43;3,27;38,51;2,77;;;;;;;
102;25;Chen Linan-2010_Effect_Chinese;46,97;127,62;2,808453496;795,4814123;28,57857143;27,96428571;6,492857143;2;rice;RFR;;mineral;no;conventional;no;rate;yes;no;no;105;3;REN;33,87;5,7;30,04;2,12;;;;;;;
103;26;Chen Shunping_2006_Rules_Chinese;40,14;116,18;12,24053357;585,9709138;19,99285714;9,107142857;7,921428571;1;maize;RFR;Increasing fertilizer rate;mineral;no;conventional;no;rate;yes;no;no;180;3;REN;33,4;;22,5;;;;;;;;
104;27;Chen Xian-you_2010_Chinese;30,2;120,47;17,45083631;1482,483769;25,08571429;13,54285714;6,557142857;1;rice;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;240;3;REN;36,8;;26,76;;;;;;;;
105;27;Chen Xian-you_2010_Chinese;30,2;120,47;17,45083631;1482,483769;25,08571429;13,54285714;6,557142857;1;rice;EE;CRF;enhanced;no;conventional;no;rate;yes;no;no;168;3;REN;40,73;;26,76;;;;;;;;
106;27;Chen Xian-you_2010_Chinese;30,2;120,47;17,45083631;1482,483769;25,08571429;13,54285714;6,557142857;1;rice;RFR;;mineral;no;conventional;no;rate;yes;no;no;168;3;REN;22,34;;26,76;;;;;;;;
107;27;Chen Xian-you_2010_Chinese;30,2;120,47;17,45083631;1482,483769;25,08571429;13,54285714;6,557142857;1;rice;RFR;CRF;enhanced;no;conventional;no;rate;yes;no;no;168;3;REN;40,73;;36,8;;;;;;;;
108;27;Chen Xian-you_2010_Chinese;30,28;120,55;17,28812472;1492,516453;28,26428571;15,00714286;6,721428571;1;rice;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;210;3;REN;27,38;;11,18;;;;;;;;
109;27;Chen Xian-you_2010_Chinese;30,28;120,55;17,28812472;1492,516453;28,26428571;15,00714286;6,721428571;1;rice;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;210;3;REN;26,7;;11,18;;;;;;;;
110;27;Chen Xian-you_2010_Chinese;30,28;120,55;17,28812472;1492,516453;28,26428571;15,00714286;6,721428571;1;rice;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;210;3;REN;15,45;;11,18;;;;;;;;
111;27;Chen Xian-you_2010_Chinese;30,28;120,55;17,28812472;1492,516453;28,26428571;15,00714286;6,721428571;1;rice;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;210;3;REN;12,77;;11,18;;;;;;;;
112;28;Chen,X_2010_Effect__Chinese;30,28;120,55;17,28812472;1492,516453;28,26428571;15,00714286;6,721428571;1;rice;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;210;3;REN;27,38;;11,18;;;;;;;;
113;28;Chen,X_2010_Effect__Chinese;30,28;120,55;17,28812472;1492,516453;28,26428571;15,00714286;6,721428571;1;rice;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;210;3;REN;26,57;;11,18;;;;;;;;
114;28;Chen,X_2010_Effect__Chinese;30,28;120,55;17,28812472;1492,516453;28,26428571;15,00714286;6,721428571;1;rice;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;210;3;REN;15,45;;11,18;;;;;;;;
115;28;Chen,X_2010_Effect__Chinese;30,28;120,55;17,28812472;1492,516453;28,26428571;15,00714286;6,721428571;1;rice;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;210;3;REN;12,77;;11,18;;;;;;;;
116;28;Chen,X_2010_Effect__Chinese;30,28;120,55;17,28812472;1492,516453;28,26428571;15,00714286;6,721428571;1;rice;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;210;3;REN;27,9;;6,64;;;;;;;;
